"Step","pious-paper-5 - loss","pious-paper-5 - loss__MIN","pious-paper-5 - loss__MAX","vocal-yogurt-1 - loss","vocal-yogurt-1 - loss__MIN","vocal-yogurt-1 - loss__MAX"
"4","0.013942589983344078","0.013942589983344078","0.013942589983344078","0.019142724573612213","0.019142724573612213","0.019142724573612213"
"9","0.00913184229284525","0.00913184229284525","0.00913184229284525","0.022917043417692184","0.022917043417692184","0.022917043417692184"
"14","0.018360067158937454","0.018360067158937454","0.018360067158937454","0.014140945859253407","0.014140945859253407","0.014140945859253407"
"19","0.014199435710906982","0.014199435710906982","0.014199435710906982","0.009670760482549667","0.009670760482549667","0.009670760482549667"
"24","0.016480466350913048","0.016480466350913048","0.016480466350913048","0.015644820407032967","0.015644820407032967","0.015644820407032967"
"29","0.016275381669402122","0.016275381669402122","0.016275381669402122","0.01172076165676117","0.01172076165676117","0.01172076165676117"
"34","0.01298362948000431","0.01298362948000431","0.01298362948000431","0.01922035962343216","0.01922035962343216","0.01922035962343216"
"39","0.017674772068858147","0.017674772068858147","0.017674772068858147","0.013435373082756996","0.013435373082756996","0.013435373082756996"
"44","0.01823560893535614","0.01823560893535614","0.01823560893535614","0.014460386708378792","0.014460386708378792","0.014460386708378792"
"49","0.014223972335457802","0.014223972335457802","0.014223972335457802","0.016253169625997543","0.016253169625997543","0.016253169625997543"
"54","0.011345363222062588","0.011345363222062588","0.011345363222062588","0.013505316339433193","0.013505316339433193","0.013505316339433193"
"59","0.013724163174629211","0.013724163174629211","0.013724163174629211","0.014357292093336582","0.014357292093336582","0.014357292093336582"
"64","0.01292071957141161","0.01292071957141161","0.01292071957141161","0.013365920633077621","0.013365920633077621","0.013365920633077621"
"69","0.015214386396110058","0.015214386396110058","0.015214386396110058","0.012599247507750988","0.012599247507750988","0.012599247507750988"
"74","0.011629133485257626","0.011629133485257626","0.011629133485257626","0.014041460119187832","0.014041460119187832","0.014041460119187832"
"79","0.014741870574653149","0.014741870574653149","0.014741870574653149","0.01133765745908022","0.01133765745908022","0.01133765745908022"
"84","0.012084651738405228","0.012084651738405228","0.012084651738405228","0.014187007211148739","0.014187007211148739","0.014187007211148739"
"89","0.013700557872653008","0.013700557872653008","0.013700557872653008","0.014446343295276165","0.014446343295276165","0.014446343295276165"
"94","0.017489681020379066","0.017489681020379066","0.017489681020379066","0.012406853027641773","0.012406853027641773","0.012406853027641773"
"99","0.011478729546070099","0.011478729546070099","0.011478729546070099","0.017272980883717537","0.017272980883717537","0.017272980883717537"
"104","0.012613358907401562","0.012613358907401562","0.012613358907401562","0.012714321725070477","0.012714321725070477","0.012714321725070477"
"109","0.013164655305445194","0.013164655305445194","0.013164655305445194","0.0134180448949337","0.0134180448949337","0.0134180448949337"
"114","0.009995663538575172","0.009995663538575172","0.009995663538575172","0.01367531344294548","0.01367531344294548","0.01367531344294548"
"119","0.013506097719073296","0.013506097719073296","0.013506097719073296","0.014669752679765224","0.014669752679765224","0.014669752679765224"
"124","0.009643182158470154","0.009643182158470154","0.009643182158470154","0.011959056369960308","0.011959056369960308","0.011959056369960308"
"129","0.014970880001783371","0.014970880001783371","0.014970880001783371","0.011989958584308624","0.011989958584308624","0.011989958584308624"
"134","0.014833685010671616","0.014833685010671616","0.014833685010671616","0.014684452675282955","0.014684452675282955","0.014684452675282955"
"139","0.013511878438293934","0.013511878438293934","0.013511878438293934","0.01001677755266428","0.01001677755266428","0.01001677755266428"
"144","0.010010834783315659","0.010010834783315659","0.010010834783315659","0.01391763798892498","0.01391763798892498","0.01391763798892498"
"149","0.020451277494430542","0.020451277494430542","0.020451277494430542","0.01440432108938694","0.01440432108938694","0.01440432108938694"
"154","0.00912064965814352","0.00912064965814352","0.00912064965814352","0.012151461094617844","0.012151461094617844","0.012151461094617844"
"159","0.008686582557857037","0.008686582557857037","0.008686582557857037","0.009482606314122677","0.009482606314122677","0.009482606314122677"
"164","0.013786141760647297","0.013786141760647297","0.013786141760647297","0.00866504292935133","0.00866504292935133","0.00866504292935133"
"169","0.01110086776316166","0.01110086776316166","0.01110086776316166","0.011450462974607944","0.011450462974607944","0.011450462974607944"
"174","0.011012203060090542","0.011012203060090542","0.011012203060090542","0.011134317144751549","0.011134317144751549","0.011134317144751549"
"179","0.015158318914473057","0.015158318914473057","0.015158318914473057","0.0132347596809268","0.0132347596809268","0.0132347596809268"
"184","0.011055931448936462","0.011055931448936462","0.011055931448936462","0.011300795711576939","0.011300795711576939","0.011300795711576939"
"189","0.008709446527063847","0.008709446527063847","0.008709446527063847","0.013739795424044132","0.013739795424044132","0.013739795424044132"
"194","0.015380561351776123","0.015380561351776123","0.015380561351776123","0.00954046193510294","0.00954046193510294","0.00954046193510294"
"199","0.010023370385169983","0.010023370385169983","0.010023370385169983","0.010855307802557945","0.010855307802557945","0.010855307802557945"
"204","0.009999236091971397","0.009999236091971397","0.009999236091971397","0.011808997020125389","0.011808997020125389","0.011808997020125389"
"209","0.009904433973133564","0.009904433973133564","0.009904433973133564","0.013334897346794605","0.013334897346794605","0.013334897346794605"
"214","0.014709308743476868","0.014709308743476868","0.014709308743476868","0.010954058729112148","0.010954058729112148","0.010954058729112148"
"219","0.013577807694673538","0.013577807694673538","0.013577807694673538","0.014131607487797737","0.014131607487797737","0.014131607487797737"
"224","0.007857204414904118","0.007857204414904118","0.007857204414904118","0.01054650079458952","0.01054650079458952","0.01054650079458952"
"229","0.011859489604830742","0.011859489604830742","0.011859489604830742","0.01234810147434473","0.01234810147434473","0.01234810147434473"
"234","0.01202381495386362","0.01202381495386362","0.01202381495386362","0.011545415036380291","0.011545415036380291","0.011545415036380291"
"239","0.011457400396466255","0.011457400396466255","0.011457400396466255","0.007938067428767681","0.007938067428767681","0.007938067428767681"
"244","0.0073861931450665","0.0073861931450665","0.0073861931450665","0.013590626418590546","0.013590626418590546","0.013590626418590546"
"249","0.013006194494664669","0.013006194494664669","0.013006194494664669","0.011696265079081059","0.011696265079081059","0.011696265079081059"
"254","0.012192542664706707","0.012192542664706707","0.012192542664706707","0.01202149037271738","0.01202149037271738","0.01202149037271738"
"259","0.012446768581867218","0.012446768581867218","0.012446768581867218","0.01502879150211811","0.01502879150211811","0.01502879150211811"
"264","0.010147166438400745","0.010147166438400745","0.010147166438400745","0.012795774266123772","0.012795774266123772","0.012795774266123772"
"269","0.0077458093874156475","0.0077458093874156475","0.0077458093874156475","0.009501500986516476","0.009501500986516476","0.009501500986516476"
"274","0.008652920834720135","0.008652920834720135","0.008652920834720135","0.01345096156001091","0.01345096156001091","0.01345096156001091"
"279","0.007650324143469334","0.007650324143469334","0.007650324143469334","0.011001582257449627","0.011001582257449627","0.011001582257449627"
"284","0.021229567006230354","0.021229567006230354","0.021229567006230354","0.013262292370200157","0.013262292370200157","0.013262292370200157"
"289","0.009498804807662964","0.009498804807662964","0.009498804807662964","0.009919380769133568","0.009919380769133568","0.009919380769133568"
"294","0.010450882837176323","0.010450882837176323","0.010450882837176323","0.009981398470699787","0.009981398470699787","0.009981398470699787"
"299","0.013322214595973492","0.013322214595973492","0.013322214595973492","0.009562615305185318","0.009562615305185318","0.009562615305185318"
"304","0.011050205677747726","0.011050205677747726","0.011050205677747726","0.011310374364256859","0.011310374364256859","0.011310374364256859"
"309","0.01246502622961998","0.01246502622961998","0.01246502622961998","0.008025424554944038","0.008025424554944038","0.008025424554944038"
"314","0.009546919725835323","0.009546919725835323","0.009546919725835323","0.009014416486024857","0.009014416486024857","0.009014416486024857"
"319","0.012103961780667305","0.012103961780667305","0.012103961780667305","0.007697595749050379","0.007697595749050379","0.007697595749050379"
